公交线路,站点
北京48路公交车路线 城南嘉园北—前门,"城南嘉园北,嘉园三里,嘉园三里北,嘉园二里西门,嘉园一里,翠林小区,右安门外,右安门,右安门内,南樱桃园路口北,牛街南口,牛街礼拜寺,牛街,菜市口西,果子巷,虎坊桥路口西,虎坊桥路口东,板章路,大栅栏,前门"
北京49路公交车路线 樊家村公交场站—真武庙,"樊家村公交场站,樊家村,纪家庙,夏家胡同,玉泉营桥西,玉泉营桥北,菜户营桥东,菜户营桥北,白纸坊桥北,椿树馆街,广安门南,广安门北,天宁寺桥东,西便门外,真武庙"
北京50路公交车路线 左安门外—北京西站,"左安门外,八里河,芳城园,方庄南口,刘家窑桥东,刘家窑桥西,木樨园桥东,木樨园桥西,洋桥北,四路通,陶然亭公园南门,开阳桥西,右安门东,右安门内,南樱桃园路口北,牛街南口,牛街礼拜寺,牛街路口西,广安门内,广安门北,天宁寺桥西,白云桥西,小马厂,北京西站"
北京51路公交车路线 嘉园三里—双龙小区,"嘉园三里,嘉园三里北,嘉园二里南门,嘉园二里东门,马家堡小区,角门北路,马家堡东口,洋桥东,木樨园桥西,木樨园桥东,刘家窑桥西,刘家窑桥东,方庄南口,芳城园,左安门外,肿瘤医院,潘家园东路,华威南路,华威南路东口,首都图书馆,弘燕路西,弘燕路,弘燕路小区,双龙小区"
北京52路公交车路线 靛厂新村—平乐园,"靛厂新村,靛厂村,莲宝路口东,马官营西,马官营,六里桥北,公主坟南,公主坟东,军事博物馆,木樨地东,工会大楼,南礼士路,复兴门内,民族文化宫,西单路口东,天安门西,天安门东,王府井,东单路口东,北京站口东,北京站东,广渠门,光明桥东,劲松中街,劲松桥东,南磨房,平乐园"
北京53路公交车路线 四方桥西—北京西站南广场,"四方桥西,北京工业大学南门,松榆东里南门,松榆里,首都图书馆,十里河桥北,十里河桥南,方庄桥东,方庄南口,方庄环岛西,芳古园,蒲黄榆,玉蜓桥西,天坛南门,永定门东,先农坛,天坛西门,北纬路,虎坊路,四平园,南横街路口东,教子胡同南口,牛街西里,白广路,菜园街,枣林前街西口,南线阁,广外关厢,达官营,广外甘石桥,湾子,莲花池,北京西站南广场"
北京54路公交车路线 三营门—四惠桥,"三营门,和义南站,和义农场,久敬庄,大红门西里,南苑路果园,地铁海户屯站,木樨园桥东,赵公口桥西,刘家窑桥西,刘家窑桥北,蒲黄榆,东侧路,天坛体育场,北京体育馆西,北京体育馆,光明楼,光明桥东,劲松中街,劲松桥北,双井桥南,双井桥东,九龙花园,九龙山路口西,九龙山,八王坟南,八王坟东,四惠桥"
北京55路公交车路线 祁家豁子—西安门,"祁家豁子,民族园西路,华严北里,健德门桥东,马甸桥北,马甸桥南,德外关厢,德胜门外,德胜门,德胜门内,蒋养房,刘海胡同,厂桥路口南,后库,西安门"
北京56路公交车路线 大观园公交场站—百万庄西口,"大观园公交场站,大观园西门,南菜园,建功北里,枣林前街西口,南线阁,北线阁,核桃园,槐柏树街西口,西便门外,真武庙,礼士路南口,北京儿童医院西门,月坛公园,南礼士路北口,阜成门外,展览路,阜外西口,甘家口东,甘家口北,百万庄西口"
北京57路公交车路线 靛厂新村—四惠枢纽站,"靛厂新村,岳各庄东路北口,靛厂村南站,水衙沟路东口,白塔村,小井路口东,六里桥西,六里桥东,莲花池,湾子,达官营,广安门内,牛街路口东,菜市口西,虎坊桥路口西,虎坊桥路口东,板章路,过街楼,东城三里河,桥湾,水道子,磁器口西,榄杆市,培新街,安化楼,广渠门内,马圈,垂杨柳,双井桥北,双花园,大北窑南,大北窑东,郎家园,四惠枢纽站"
